artist,patternId,previewImage,palette,templateId
davidgav,2439834,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439834.png,F1E8B4 B2BB91 D7BF5E D16344 83555E,179122
davidgav,2439419,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439419.png,CC1515 2B2222 0C0C0C 3E3E3E 7A7A7A,15635
davidgav,2439484,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439484.png,000000 107919 1D1E20 7A5A39 E11717,178931
davidgav,2443069,http://colourlovers.com.s3.amazonaws.com/images/patterns/2443/2443069.png,FFCCCC D4C098 F0F0D8 F4FCE8 68DECC,114679
davidgav,2439705,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439705.png,5D4224 824149 945D1D F4AA2E FBCE01,179108
davidgav,2967102,http://colourlovers.com.s3.amazonaws.com/images/patterns/2967/2967102.png,844967 855C61 A68868 B09F95 6D8B84,2
davidgav,2797252,http://colourlovers.com.s3.amazonaws.com/images/patterns/2797/2797252.png,C75F5E A35966 656469 AABFA0 CEBF88,1
davidgav,2441582,http://colourlovers.com.s3.amazonaws.com/images/patterns/2441/2441582.png,D6D8CD BBC562 667427 3B425C 121C1D,179285
davidgav,2439520,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439520.png,262626 C00A0A 854927 FFFEFC,179032
davidgav,2438125,http://colourlovers.com.s3.amazonaws.com/images/patterns/2438/2438125.png,AFD0BB 95B1A5 8B8C8E 826E7A 6A4356,178752
davidgav,2442814,http://colourlovers.com.s3.amazonaws.com/images/patterns/2442/2442814.png,D16F6F BA5661 912141 EDDFC2,179479
davidgav,2439443,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439443.png,704058 FCEDFC 89BBF4 EEEDF2 252533,178959
davidgav,2442079,http://colourlovers.com.s3.amazonaws.com/images/patterns/2442/2442079.png,262928 7A0303,84636
davidgav,2441927,http://colourlovers.com.s3.amazonaws.com/images/patterns/2441/2441927.png,FF4F44 F4DD3F 304A3D 6A8274 F0E2B3,179384
davidgav,2442784,http://colourlovers.com.s3.amazonaws.com/images/patterns/2442/2442784.png,4495B0 E74129 D1A543 513D18 974226,none
davidgav,2776377,http://colourlovers.com.s3.amazonaws.com/images/patterns/2776/2776377.png,A9C6CF 598491 2F697B A9B285 D82861,1
davidgav,2446995,http://colourlovers.com.s3.amazonaws.com/images/patterns/2446/2446995.png,E74129 D1A543 513D18 974226 4495B0,80928
davidgav,2439942,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439942.png,6D9A93 FDCD61 FD3A5C A71E6C 060028,161295
davidgav,2439349,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439349.png,EFFFCD DCE9BE 555152,178965
davidgav,2439760,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439760.png,61411A 7A572D 966E3D B79651 C1CA79,176344
davidgav,2439683,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439683.png,FFFFFF 1A1919 D61212,none
davidgav,2439595,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439595.png,535B72 646F85 7D868D 949E95 A4B09A,178931
davidgav,2441972,http://colourlovers.com.s3.amazonaws.com/images/patterns/2441/2441972.png,291D1B 48750C 94B36B DCF2BF,178368
davidgav,2442169,http://colourlovers.com.s3.amazonaws.com/images/patterns/2442/2442169.png,F1F1F3 ECDCC5 F5C3BA B7A29D,179369
davidgav,2446138,http://colourlovers.com.s3.amazonaws.com/images/patterns/2446/2446138.png,E8EBBE C7D6A5 9FB381 7B9E7A 4D8073,179927
