Feature,Kuler,ColorLovers,Mturk
 hsvDiff-D1-C2,-0.14,-0.1,0
 hsvDiff-D1-C3,-0.03,-0.07,0
 hsvDiff-D1-C4,-0.03,0.01,-0.01
 hsvDiff-D2-C1,0,0,0.01
 hsvDiff-D2-C2,0.02,0.05,0
 hsvDiff-D2-C3,0,-0.02,0
 hsvDiff-D2-C4,-0.04,0,0
 hsvDiff-D3-C1,0.01,0.03,0
 hsvDiff-D3-C2,0,0,0
 hsvDiff-D3-C3,0,0,0
 hsvDiff-D3-C4,0,0,0
 hsvSortedDiff-D1-C1,-0.05,-0.1,-0.05
 hsvSortedDiff-D1-C2,-0.05,0.08,-0.01
 hsvSortedDiff-D1-C3,0.19,-0.08,0.05
 hsvSortedDiff-D1-C4,-0.26,0.26,0.12
 hsvSortedDiff-D2-C1,0,0.08,-0.02
 hsvSortedDiff-D2-C2,-0.04,-0.01,0.02
 hsvSortedDiff-D2-C3,0.01,0,0.02
 hsvSortedDiff-D2-C4,0.08,-0.02,0.05
 hsvSortedDiff-D3-C1,0,0,-0.04
 hsvSortedDiff-D3-C2,0,0,0
 hsvSortedDiff-D3-C3,0,0.12,0
 hsvSortedDiff-D3-C4,0,0,0.01
 hsvMean-D1,0,0,0
 hsvMean-D2,0,0,0
 hsvMean-D3,-0.08,0,0
 hsvStdDev-D1,-0.04,-0.16,0.01
 hsvStdDev-D2,0,-0.13,0
 hsvStdDev-D3,0,-0.55,-0.43
 hsvMedian-D1,0.01,-0.04,0.02
 hsvMedian-D2,0.04,0,0.05
 hsvMedian-D3,0,0,0
 hsvMax-D1,0,0.19,0
 hsvMax-D2,0,-0.02,-0.02
 hsvMax-D3,0,0.04,0
 hsvMin-D1,-0.03,0,0
 hsvMin-D2,-0.08,-0.14,0
 hsvMin-D3,0,0,-0.01
 hsvMaxMinDiff-D1,0.04,0.18,-0.07
 hsvMaxMinDiff-D2,0.03,0,0
 hsvMaxMinDiff-D3,0.14,0.63,0.26
 hsvHueProbMean,0.13,-0.27,0.02
 hsvHueProbStdDev,0,0.34,-0.17
 hsvHueProbMin,-0.5,-0.3,-0.28
 hsvHueProbMax,0,0,0.15
 hsvHueProbLogMean,0.56,0.5,0
 hsvHueProbLogStdDev,-0.37,-0.83,-0.13
 hsvHueProbLogMin,0.02,-0.42,-0.04
 hsvHueProbLogMax,0.01,-0.02,0
 hsvHueJointProbMean,1.04,1.5,0.8
 hsvHueJointProbStdDev,-0.36,-0.47,-0.3
 hsvHueJointProbMin,-0.81,-0.91,-0.87
 hsvHueJointProbMax,-0.06,-0.38,0
 hsvHueJointProbLogMean,-1.63,-1.42,0
 hsvHueJointProbLogStdDev,-0.1,-0.24,-0.15
 hsvHueJointProbLogMin,-0.46,-0.39,-0.04
 hsvHueJointProbLogMax,1.07,2.2,0.51
 hsvHueAdjProbMean,-0.13,-0.91,-0.04
 hsvHueAdjProbStdDev,-0.05,0.47,-0.45
 hsvHueAdjProbMin,0.13,0.97,-0.1
 hsvHueAdjProbMax,0,-0.19,0.31
 hsvHueAdjProbLogMean,0.11,-0.08,0
 hsvHueAdjProbLogStdDev,-0.3,-0.03,-0.28
 hsvHueAdjProbLogMin,-0.53,0.04,-0.67
 hsvHueAdjProbLogMax,0.44,0,0.58
 hsvEntropy,0.38,-0.59,-0.48
 rgb-D1-C1,0,0,-0.02
 rgb-D2-C1,0,0.16,0
 rgb-D3-C1,0,0,0.01
 rgb-D1-C2,0,0,0
 rgb-D2-C2,0,0.21,0
 rgb-D3-C2,0,0,0
 rgb-D1-C3,0,0.02,0
 rgb-D2-C3,0.06,0.21,-0.01
 rgb-D3-C3,-0.06,-0.05,0
 rgb-D1-C4,0.17,0.04,-0.02
 rgb-D2-C4,0,0.32,0
 rgb-D3-C4,0,-0.06,0
 rgb-D1-C5,0,0,-0.01
 rgb-D2-C5,0.02,0.1,-0.01
 rgb-D3-C5,-0.02,0,0.03
 rgbSorted-D1-C1,0,0.07,-0.02
 rgbSorted-D2-C1,0.06,0.03,-0.06
 rgbSorted-D3-C1,0,0,0
 rgbSorted-D1-C2,0.01,0.08,-0.02
 rgbSorted-D2-C2,0.01,0.02,-0.06
 rgbSorted-D3-C2,0,0,-0.01
 rgbSorted-D1-C3,0.01,0.08,-0.01
 rgbSorted-D2-C3,-0.01,0.08,-0.04
 rgbSorted-D3-C3,0,-0.05,0.06
 rgbSorted-D1-C4,0,0,0
 rgbSorted-D2-C4,0.03,0.25,0
 rgbSorted-D3-C4,-0.29,-0.44,0.22
 rgbSorted-D1-C5,-0.01,0.1,0
 rgbSorted-D2-C5,0.1,0.29,0
 rgbSorted-D3-C5,0,-0.3,0
 rgbDiff-D1-C1,0.1,0,0.05
 rgbDiff-D1-C2,0,0,0
 rgbDiff-D1-C3,0,0,-0.04
 rgbDiff-D1-C4,0,0,0
 rgbDiff-D2-C1,0.01,0,0
 rgbDiff-D2-C2,0,0,-0.02
 rgbDiff-D2-C3,-0.03,0,0
 rgbDiff-D2-C4,0,0,0
 rgbDiff-D3-C1,0,-0.11,-0.05
 rgbDiff-D3-C2,0,-0.02,0
 rgbDiff-D3-C3,0,0,0
 rgbDiff-D3-C4,-0.01,0.19,0.01
 rgbSortedDiff-D1-C1,0,-0.09,0
 rgbSortedDiff-D1-C2,-0.05,-0.11,0.02
 rgbSortedDiff-D1-C3,0.02,-0.01,-0.06
 rgbSortedDiff-D1-C4,0.04,0.17,0
 rgbSortedDiff-D2-C1,0.03,-0.08,-0.05
 rgbSortedDiff-D2-C2,0.06,-0.03,0
 rgbSortedDiff-D2-C3,-0.11,0.21,-0.09
 rgbSortedDiff-D2-C4,0.04,0.2,0.06
 rgbSortedDiff-D3-C1,-0.06,0,-0.03
 rgbSortedDiff-D3-C2,-0.02,-0.06,0
 rgbSortedDiff-D3-C3,0.12,-0.05,0
 rgbSortedDiff-D3-C4,0.01,0.01,0
 rgbMean-D1,0.33,0.06,-0.28
 rgbMean-D2,1.29,0.2,-0.26
 rgbMean-D3,-0.2,0,0
 rgbStdDev-D1,0,-0.22,-0.08
 rgbStdDev-D2,0.39,0.1,-0.34
 rgbStdDev-D3,0.82,0.8,-0.51
 rgbMedian-D1,-0.01,0.02,0.03
 rgbMedian-D2,-0.01,0.06,0.01
 rgbMedian-D3,-0.03,-0.21,0.08
 rgbMax-D1,-0.33,-0.54,0
 rgbMax-D2,-0.74,-0.22,0
 rgbMax-D3,-0.2,-0.19,0.3
 rgbMin-D1,0,-0.06,0
 rgbMin-D2,-0.04,-0.11,-0.26
 rgbMin-D3,0,0,0
 rgbMaxMinDiff-D1,0,0,0.09
 rgbMaxMinDiff-D2,0,0,0.35
 rgbMaxMinDiff-D3,-0.56,-0.47,0.17
 rgbPlaneNormal1,-0.03,-0.12,-0.01
 rgbPlaneNormal2,-0.01,0,0
 rgbPlaneNormal3,0.01,0.03,0.04
 rgbPlaneVariance-D1,0.44,0,-0.15
 rgbPlaneVariance-D2,0.17,-0.13,-0.11
 rgbPlaneVariance-D3,-0.55,-1.12,-0.01
 rgbSSE,1.19,1.86,0.34
